id,label,family,text,note
S14,smish,ussd-injection,"To receive your $250 EcoCash promo prize, dial *151*2*2*0784556301*250# and enter your PIN when prompted. Offer expires today.","The USSD string makes the VICTIM send money out. No link, no login page. Needs a ussd_with_msisdn signal."
S15,smish,obfuscated-url,Reactivate your wallet. Copy this to your browser: hxxp://ecocash-verify[.]top/login (remove brackets),Defanged URL to evade has_url / url_count entirely.
S16,smish,long-benign-preamble,"Good afternoon valued customer. Thank you for banking with us this year. As part of our annual customer records update, and in line with new regulations, kindly take a moment to confirm your details at your convenience using the secure portal below. https://records-update-zw.online/confirm",Payload is 1 sentence of 5. Dilutes TF-IDF weight and any urgency-word density signal computed per-token.
S17,smish,tax-refund,ZIMRA: You are eligible for a tax refund of USD 418.60 for the 2025 assessment. Submit your bank details to receive payment: zimra-refunds.claim-portal.co,"Positive framing (refund, not threat). Bare domain, no http:// prefix."
S18,smish,advance-fee-job,"Dear applicant, you have been shortlisted for the Data Clerk post (Harare, $650/month). To confirm your interview slot pay the $15 medical screening fee to EcoCash 0716 220 884 and send proof.","No link, no brand impersonation, professional register. Purely behavioural fraud: pay-to-be-hired."
S19,smish,form-harvest,Nhamo Trust is giving out groceries hampers to 200 families. Register your household using your ID and EcoCash number here: https://forms.gle/9xKq2Lmn4TzP,forms.gle is a trusted domain. Charity framing. Harvests ID + MSISDN.
S20,smish,code-mixed-shona,"Mhoro, ndini wako. Ndarasika nefone yangu, ndakabhadhara $80 pa account yako nekukanganisa. Ndapota tumira kuna 0778 341 209 nhasi. Thanks.","Shona/English code-mixing. If training data is English-only, TF-IDF has near-zero coverage for these tokens."
G01,genuine,real-transaction,EcoCash: Confirmed. You have sent $45.00 to 0772134556 TENDAI MOYO. Fee $0.45. New balance $112.30. Ref MP250817.1432.K84210,"Money + amount + phone number, all benign. Reference-code format is the strongest genuine signal here."
G02,genuine,real-otp,"Your Steward Bank verification code is 739104. Do not share this code with anyone, including bank staff. Expires in 5 minutes.",Near-identical surface form to S07. The pair S07/G01 is the single most important discrimination in this suite.
G03,genuine,utility-token,ZESA Prepaid: Purchase successful. Token 4521 8873 0094 6612 3380. Units 42.6 kWh. Amount $12.00. Meter 37201884556.,Long digit strings can trip 'excessive numerals' heuristics.
G04,genuine,school-fees,Chisipite Senior School: Fees for Term 3 ($420) are due by 29 August. Pay via ZIPIT to 0331 4478 2201 or at the bursar's office. Statements available on request.,"Deadline + payment instruction + account number. Reads like a scam to a naive urgency+account-number model, but is legitimate."
G05,genuine,telco-promo,NetOne: Get 2GB for $2 valid 7 days. Dial *171# to buy. T&Cs apply. To opt out of promotional messages reply STOP.,Promo + USSD code. Distinguish from S14: no MSISDN embedded in the USSD string and no PIN request.
G06,genuine,real-courier,DHL: Your shipment 8842019773 is out for delivery today between 10:00 and 14:00. Track at https://www.dhl.com/zw-en/home/tracking.html,"Pairs with S06. Real first-party domain, no payment demand."
G07,genuine,appointment,"Reminder: your appointment with Dr Chikwava is on Tue 19 Aug at 09:30, Avenues Clinic. Please arrive 15 min early. Call 0242 251 555 to reschedule.","Callback number + time pressure, entirely benign."
G08,genuine,bank-marketing,"CBZ Bank: Apply for a personal loan up to $5,000 with repayment over 24 months. Learn more at https://www.cbz.co.zw/personal-loans or visit any branch.",Money offer + link. Legitimate marketing on a first-party domain.
G09,genuine,payroll,Payroll notice: August salaries have been processed and will reflect in your account by 25/08. Payslips are on the HR portal. Contact payroll@company.co.zw with queries.,"Email address + money, no action link."
G10,genuine,community-money,Good evening family. The funeral contribution is $10 per household. Please send to Aunt Rudo on 0772 884 110 before Friday so we can finalise arrangements. Thank you.,Send-money-to-this-number + deadline + emotional framing. Structurally almost identical to S04. Context is the only difference.
G11,genuine,tax-legit,ZIMRA: Your 2025 ITF263 tax clearance certificate has been approved. Download it from the eServices portal at https://efiling.zimra.co.zw using your usual login.,"Pairs with S17. Real domain, no credential or bank-detail request."
G12,genuine,fraud-warning,"EcoCash Security Alert: We will never call or SMS you to ask for your PIN or a one-time code. If someone does, hang up and report to 114.","Anti-fraud education. Densely packed with scam vocabulary (PIN, one-time code, call). A keyword-heavy model flags this."
G13,genuine,insurance,Nyaradzo: Your monthly policy premium of $8.50 is due on 20 August. Pay via EcoCash Biller Code 011977 or at any branch. Policy NY-447120.,Biller code + due date + amount.
G14,genuine,2fa-google,G-618402 is your Google verification code.,Very short message. Check your model is not biased toward 'short message = suspicious' or vice versa.
G15,genuine,agent-float,EcoCash Agent: Your float top-up of $500.00 was successful. Agent code 4471. Available float $612.40. Ref AG250817.0918.T2210,Uses the word 'agent' plus large amounts. Pairs with S04.
G16,genuine,university,University of Zimbabwe: Registration for Semester 1 closes 31 August. Students with outstanding fees will not be registered. Portal: https://elearning.uz.ac.zw/registration,Threat of loss of service + deadline + link. All legitimate.
G17,genuine,telco-maintenance,"Econet: Scheduled network maintenance in Bulawayo on 18 Aug, 01:00-04:00. You may experience brief service interruptions. We apologise for the inconvenience.","Easy negative. Should score very low; if not, your intercept is too high."
G18,genuine,dispute-followup,Your reversal request REV-88214 for $60.00 is being processed. You will be notified within 48 hours. Do not share your PIN with anyone during this process.,'Reversal' is a top scam token but appears here in the genuine flow. Pairs with S13.
G19,genuine,shortlink-legit,Old Mutual Zimbabwe: your annual statement is ready. View it in the app or at https://bit.ly/OMZW-statements,"Legitimate business using a shortener. If has_shortener alone pushes a message over threshold, this is a guaranteed false positive."
G20,genuine,cash-in,EcoCash: Cash In of $200.00 from Agent 30471 SUNRISE SUPERMARKET was successful. New balance $243.85. Thank you for using EcoCash.,"Large amount + agent + balance disclosure, fully genuine."
